"containment_metric_id","hs_feature_name","cont_display_metric_name","yesterday","last_7_days","last_30_days","% change last 7 days","% change last 30 days","create_dt"
"1","SMART HELP","Smarthelp_containment_rate","92.71","94.124","94.233","-1.5","-1.6","2025-02-19"
"2","SMART HELP","PnP_containment_rate","85.0","86.857","87.696","-2.1","-3.1","2025-02-19"
"3","BIL LING","Billing_containment_rate","97.29","87.427","87.65","11.3","11.0","2025-02-19"
"4","BIL LING","Billing_containment_rate","99.83","99.623","99.614","0.2","0.2","2025-02-19"
"5","BIL LING","Billing_containment_rate","97.56","98.099","97.82","-0.5","-0.3","2025-02-19"
"6","BIL LING","Billing_containment_rate","99.21","98.454","98.521","0.8","0.7","2025-02-19"
"7","BIL LING","Billing_containment_rate","97.05","96.757","96.746","0.3","0.3","2025-02-19"
"8","BIL LING","Billing_containment_rate","99.89","99.401","99.425","0.5","0.5","2025-02-19"
"9","BIL LING","Billing_containment_rate","98.54","97.61","97.497","1.0","1.1","2025-02-19"
"10","BIL LING","Billing_containment_rate","NaN","NaN","NaN","0.0","0.0","2025-02-19"
"11","BIL LING","Billing_containment_rate","100.0","99.126","99.117","0.9","0.9","2025-02-19"
"12","BIL LING","Billing_containment_rate","99.37","98.546","98.579","0.8","0.8","2025-02-19"
"13","BIL LING","Billing_containment_rate","99.62","99.139","99.159","0.5","0.5","2025-02-19"
"14","DATA USAGE","Datausage_containment_rate","99.62","99.139","99.159","0.5","0.5","2025-02-19"
"15","LOG IN","Login_containment_rate","98.55","98.517","98.633","0.0","-0.1","2025-02-19"
"16","LOG IN","Login_containment_rate","100.0","97.959","95.389","2.1","4.8","2025-02-19"
"17","LOG IN","Login_containment_rate","98.43","97.329","97.176","1.1","1.3","2025-02-19"
"18","LOG IN","Login_containment_rate","99.31","98.763","98.786","0.6","0.5","2025-02-19"
"20","LOG IN","Login_containment_rate","100.0","100.0","95.192","0.0","5.1","2025-02-19"
"21","E COMMERCE","Ecommerce_containment_rate","70.0","79.439","78.047","-11.9","-10.3","2025-02-19"
"21","E COMMERCE","Ecommerce_containment_rate","94.95","93.441","94.334","1.6","0.7","2025-02-19"
"23","E COMMERCE","Ecommerce_containment_rate","82.61","79.224","81.678","4.3","1.1","2025-02-19"
"24","E COMMERCE","Ecommerce_containment_rate","80.25","72.22","72.214","11.1","11.1","2025-02-19"
"25","E COMMERCE","Ecommerce_containment_rate","86.18","78.84","79.349","9.3","8.6","2025-02-19"
"26","E COMMERCE","Ecommerce_containment_rate","100.0","93.704","93.4","6.7","7.1","2025-02-19"
"26","E COMMERCE","Ecommerce_containment_rate","96.47","95.59","96.206","0.9","0.3","2025-02-19"
"27","E COMMERCE","Ecommerce_containment_rate","95.18","93.527","93.502","1.8","1.8","2025-02-19"
"29","E COMMERCE","Ecommerce_containment_rate","NaN","NaN","NaN","0.0","0.0","2025-02-19"
"30","E COMMERCE","Ecommerce_containment_rate","93.54","91.129","91.706","2.6","2.0","2025-02-19"
"31","E COMMERCE","Ecommerce_containment_rate","33.33","23.61","15.8","41.2","111.0","2025-02-19"
"33","S UPPORT","Support_containment_rate","96.6","96.771","97.019","-0.2","-0.4","2025-02-19"
"34","S UPPORT","Support_containment_rate","0.0","NaN","NaN","0.0","0.0","2025-02-19"
"35","S UPPORT","Support_containment_rate","99.69","99.279","99.242","0.4","0.5","2025-02-19"
"36","S UPPORT","Support_containment_rate","100.0","96.667","92.037","3.4","8.7","2025-02-19"
"37","S UPPORT","Support_containment_rate","NaN","NaN","NaN","0.0","0.0","2025-02-19"
"38","S UPPORT","Support_containment_rate","70.0","79.439","78.047","-11.9","-10.3","2025-02-19"
"38","S UPPORT","Support_containment_rate","94.95","93.441","94.334","1.6","0.7","2025-02-19"
"39","S UPPORT","Support_containment_rate","NaN","NaN","100.0","0.0","NaN","2025-02-19"
"40","S UPPORT","Support_containment_rate","0.0","43.334","31.942","-100.0","-100.0","2025-02-19"
"41","S UPPORT","Support_containment_rate","100.0","97.917","95.232","2.1","5.0","2025-02-19"
"42","S UPPORT","Support_containment_rate","95.83","94.941","94.281","0.9","1.6","2025-02-19"
"44","S UPPORT","Support_containment_rate","100.0","93.704","93.4","6.7","7.1","2025-02-19"
"44","S UPPORT","Support_containment_rate","96.47","95.59","96.206","0.9","0.3","2025-02-19"
"45","S UPPORT","Support_containment_rate","97.6","97.543","97.633","0.1","-0.0","2025-02-19"
"48","S UPPORT","Support_containment_rate","98.32","98.181","98.32","0.1","0.0","2025-02-19"
"49","S UPPORT","Support_containment_rate","0.0","100.0","100.0","-100.0","-100.0","2025-02-19"
"50","S UPPORT","Support_containment_rate","99.14","98.599","98.571","0.5","0.6","2025-02-19"
"51","S UPPORT","Support_containment_rate","99.14","99.514","99.492","-0.4","-0.4","2025-02-19"
"52","S UPPORT","Support_containment_rate","82.22","77.484","78.712","6.1","4.5","2025-02-19"
"53","S UPPORT","Support_containment_rate","43.75","57.157","54.728","-23.5","-20.1","2025-02-19"
"54","S UPPORT","Support_containment_rate","NaN","100.0","94.444","NaN","NaN","2025-02-19"
"55","S UPPORT","Support_containment_rate","100.0","98.81","99.352","1.2","0.7","2025-02-19"
"56","S UPPORT","Support_containment_rate","NaN","50.0","71.429","NaN","NaN","2025-02-19"
"57","S UPPORT","Support_containment_rate","NaN","33.333","43.333","NaN","NaN","2025-02-19"
"58","S UPPORT","Support_containment_rate","97.47","96.929","97.369","0.6","0.1","2025-02-19"
"59","S UPPORT","Support_containment_rate","99.72","99.209","99.393","0.5","0.3","2025-02-19"
"60","S UPPORT","Support_containment_rate","9.09","26.191","12.757","-65.3","-28.7","2025-02-19"
"61","S UPPORT","Support_containment_rate","0.0","NaN","NaN","0.0","0.0","2025-02-19"
"62","S UPPORT","Support_containment_rate","100.0","99.671","99.506","0.3","0.5","2025-02-19"
"63","S UPPORT","Support_containment_rate","100.0","94.461","97.006","5.9","3.1","2025-02-19"
"64","S UPPORT","Support_containment_rate","NaN","33.333","14.286","NaN","NaN","2025-02-19"
"65","S UPPORT","Support_containment_rate","NaN","NaN","80.0","0.0","NaN","2025-02-19"
"67","S UPPORT","Support_containment_rate","25.0","76.983","82.86","-67.5","-69.8","2025-02-19"
"68","S UPPORT","Support_containment_rate","100.0","99.45","98.541","0.6","1.5","2025-02-19"
"69","S UPPORT","Support_containment_rate","98.31","98.494","98.172","-0.2","0.1","2025-02-19"
"70","S UPPORT","Support_containment_rate","99.61","99.677","99.585","-0.1","0.0","2025-02-19"
"71","S UPPORT","Support_containment_rate","NaN","66.667","77.273","NaN","NaN","2025-02-19"
"72","S UPPORT","Support_containment_rate","0.0","NaN","NaN","0.0","0.0","2025-02-19"
"73","S UPPORT","Support_containment_rate","NaN","100.0","75.0","NaN","NaN","2025-02-19"
"74","S UPPORT","Support_containment_rate","100.0","89.754","90.66","11.4","10.3","2025-02-19"
"75","S UPPORT","Support_containment_rate","NaN","100.0","91.667","NaN","NaN","2025-02-19"
"76","S UPPORT","Support_containment_rate","86.49","94.377","95.325","-8.4","-9.3","2025-02-19"
"78","S UPPORT","Support_containment_rate","NaN","NaN","NaN","0.0","0.0","2025-02-19"
